customer_id,churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,paperless_billing,payment_method,monthly_charge,total_charge,expected_total,diff_expected_minus_total,ratio_total_expected,missing_total,missing_monthly,missing_tenure,suspicious_evasion_flag,suspicion_reasons
0019-GFNTW,No,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,bank transfer (automatic),45.05,2560.1,2522.7999999999997,-37.30000000000018,1.0147851593467576,False,False,False,False,
0020-INWCK,No,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,credit card (automatic),95.75,6849.4,6798.25,-51.149999999999636,1.0075239951458095,False,False,False,False,
0020-JDNXP,No,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,mailed check,61.25,1993.2,2082.5,89.29999999999995,0.9571188475390157,False,False,False,False,
0021-IKXGC,No,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,electronic check,72.1,72.1,72.1,0.0,1.0,False,False,False,False,
0022-TCJCI,Yes,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,credit card (automatic),62.7,2791.5,2821.5,30.0,0.9893673577884105,False,False,False,False,
0023-HGHWL,Yes,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,electronic check,25.1,25.1,25.1,0.0,1.0,False,False,False,False,
0023-UYUPN,No,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,electronic check,25.2,1306.3,1260.0,-46.299999999999955,1.0367460317460317,False,False,False,False,
0023-XUOPT,Yes,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,electronic check,94.1,1215.6,1223.3,7.7000000000000455,0.9937055505599607,False,False,False,False,
0027-KWYKW,No,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,electronic check,83.75,1849.95,1926.25,76.29999999999995,0.960389357560026,False,False,False,False,
0030-FNXPP,No,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,19.85,57.2,59.550000000000004,2.3500000000000014,0.9605373635600336,False,False,False,False,
0031-PVLZI,Yes,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,20.35,76.35,81.4,5.050000000000011,0.9379606879606879,False,False,False,False,
0032-PGELS,Yes,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,bank transfer (automatic),30.5,30.5,30.5,0.0,1.0,False,False,False,False,
0036-IHMOT,No,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,bank transfer (automatic),103.7,5656.75,5703.5,46.75,0.9918032786885246,False,False,False,False,
0040-HALCW,No,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,credit card (automatic),20.4,1090.6,1101.6,11.0,0.9900145243282498,False,False,False,False,
0042-JVWOJ,No,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,bank transfer (automatic),19.6,471.85,509.6,37.75,0.9259222919937206,False,False,False,False,
0042-RLHYP,No,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,bank transfer (automatic),19.7,1396.9,1359.3,-37.600000000000136,1.0276612962554257,False,False,False,False,
0047-ZHDTW,,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,bank transfer (automatic),79.0,929.3,869.0,-60.299999999999955,1.0693901035673188,False,False,False,False,
0048-LUMLS,No,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,credit card (automatic),91.2,3247.55,3374.4,126.84999999999991,0.9624081318160266,False,False,False,False,
0048-PIHNL,No,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,bank transfer (automatic),20.45,900.9,1002.05,101.14999999999998,0.8990569332867622,False,False,False,True,gap >2 months (gap=101.15)
0052-DCKON,No,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,bank transfer (automatic),115.8,7942.15,7642.8,-299.34999999999945,1.0391675825613649,False,False,False,False,
0052-YNYOT,No,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,electronic check,20.55,1343.4,1376.8500000000001,33.450000000000045,0.9757054145331735,False,False,False,False,
0056-EPFBG,No,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,credit card (automatic),39.4,825.4,788.0,-37.39999999999998,1.0474619289340101,False,False,False,False,
0057-QBUQH,No,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,electronic check,25.1,1070.15,1079.3,9.149999999999864,0.9915222829611786,False,False,False,False,
0058-EVZWM,No,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,bank transfer (automatic),89.8,4959.6,4939.0,-20.600000000000364,1.0041708847944928,False,False,False,False,
0060-FUALY,No,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,electronic check,94.75,5597.65,5590.25,-7.399999999999636,1.001323733285631,False,False,False,False,
0064-SUDOG,No,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,bank transfer (automatic),20.3,224.5,243.60000000000002,19.100000000000023,0.9215927750410509,False,False,False,False,
0064-YIJGF,No,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,bank transfer (automatic),75.75,1929.0,2045.25,116.25,0.9431609827649432,False,False,False,False,
0067-DKWBL,Yes,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,electronic check,49.25,91.1,98.5,7.400000000000006,0.9248730964467005,False,False,False,False,
0068-FIGTF,No,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,mailed check,78.2,2078.95,2111.4,32.45000000000027,0.9846310504878278,False,False,False,False,
0071-NDAFP,No,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,credit card (automatic),25.5,630.6,637.5,6.899999999999977,0.9891764705882353,False,False,False,False,
0074-HDKDG,No,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,bank transfer (automatic),61.6,1611.0,1540.0,-71.0,1.0461038961038962,False,False,False,False,
0076-LVEPS,No,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,mailed check,45.0,1242.45,1305.0,62.549999999999955,0.9520689655172414,False,False,False,False,
0078-XZMHT,No,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,bank transfer (automatic),85.15,6316.2,6130.8,-185.39999999999964,1.0302407516147973,False,False,False,False,
0080-EMYVY,No,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,credit card (automatic),51.45,727.85,720.3000000000001,-7.5499999999999545,1.0104817437178952,False,False,False,False,
0080-OROZO,No,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,electronic check,99.25,3532.0,3473.75,-58.25,1.0167686218064051,False,False,False,False,
0082-LDZUE,No,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,mailed check,44.3,44.3,44.3,0.0,1.0,False,False,False,False,
0082-OQIQY,No,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,electronic check,94.2,2607.6,2731.8,124.20000000000027,0.9545354711179441,False,False,False,False,
0083-PIVIK,No,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,electronic check,81.25,5567.55,5200.0,-367.5500000000002,1.0706826923076924,False,False,False,False,
0089-IIQKO,No,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,credit card (automatic),99.95,3767.4,3898.05,130.6500000000001,0.9664832416208103,False,False,False,False,
0093-EXYQL,No,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,electronic check,91.55,3673.6,3662.0,-11.599999999999909,1.0031676679410158,False,False,False,False,
0093-XWZFY,Yes,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,credit card (automatic),104.5,4036.85,4180.0,143.1500000000001,0.9657535885167464,False,False,False,False,
0094-OIFMO,Yes,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,electronic check,95.0,1120.3,1045.0,-75.29999999999995,1.0720574162679426,False,False,False,False,
0096-BXERS,No,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,electronic check,50.35,314.55,302.1,-12.449999999999989,1.041211519364449,False,False,False,False,
0096-FCPUF,No,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,mailed check,64.5,1888.45,1935.0,46.549999999999955,0.9759431524547804,False,False,False,False,
0098-BOWSO,No,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,electronic check,19.4,529.8,523.8,-6.0,1.011454753722795,False,False,False,False,
0100-DUVFC,No,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,electronic check,104.8,7308.95,7336.0,27.050000000000182,0.9963127044711014,False,False,False,False,
0103-CSITQ,No,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,bank transfer (automatic),109.4,6252.7,6235.8,-16.899999999999636,1.0027101574777895,False,False,False,False,
0104-PPXDV,No,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,credit card (automatic),50.3,2878.55,2917.3999999999996,38.849999999999454,0.9866833481867419,False,False,False,False,
0106-GHRQR,No,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,bank transfer (automatic),71.4,1212.1,1142.4,-69.69999999999982,1.0610119047619047,False,False,False,False,
0106-UGRDO,No,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,electronic check,116.0,8182.85,8004.0,-178.85000000000036,1.0223450774612695,False,False,False,False,
0107-WESLM,Yes,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,electronic check,19.85,19.85,19.85,0.0,1.0,False,False,False,False,
0107-YHINA,Yes,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,99.75,99.75,99.75,0.0,1.0,False,False,False,False,
0111-KLBQG,No,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,mailed check,93.95,2861.45,3006.4,144.95000000000027,0.95178618946248,False,False,False,False,
0112-QAWRZ,No,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,bank transfer (automatic),90.8,1442.2,1452.8,10.599999999999909,0.9927037444933922,False,False,False,False,
0112-QWPNC,Yes,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,electronic check,84.35,4059.35,4133.15,73.79999999999973,0.9821443693067032,False,False,False,False,
0114-IGABW,No,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,bank transfer (automatic),58.25,4145.9,4135.75,-10.149999999999636,1.0024542102399805,False,False,False,False,
0114-PEGZZ,No,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,electronic check,107.55,3645.5,3549.15,-96.34999999999991,1.027147345138977,False,False,False,False,
0114-RSRRW,No,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,bank transfer (automatic),19.95,187.75,199.5,11.75,0.9411027568922306,False,False,False,False,
0115-TFERT,Yes,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,electronic check,111.2,2317.1,2335.2000000000003,18.100000000000364,0.9922490578965397,False,False,False,False,
0117-LFRMW,Yes,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,bank transfer (automatic),40.2,1448.8,1487.4,38.600000000000136,0.9740486755412128,False,False,False,False,
0118-JPNOY,No,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,credit card (automatic),85.8,2193.65,2230.7999999999997,37.149999999999636,0.9833467814237047,False,False,False,False,
0120-YZLQA,,Male,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,credit card (automatic),19.9,1355.1,1412.8999999999999,57.799999999999955,0.9590912308018968,False,False,False,True,gap >2 months (gap=57.80)
0121-SNYRK,No,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,mailed check,35.4,1748.9,1770.0,21.09999999999991,0.9880790960451978,False,False,False,False,
0122-OAHPZ,Yes,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,electronic check,73.85,511.25,516.9499999999999,5.699999999999932,0.9889737885675599,False,False,False,False,
0123-CRBRT,No,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,mailed check,88.1,5526.75,5374.099999999999,-152.65000000000055,1.0284047561452152,False,False,False,False,
0125-LZQXK,Yes,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,electronic check,101.35,1553.95,1520.25,-33.700000000000045,1.0221674066765334,False,False,False,False,
0128-MKWSG,No,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,mailed check,45.8,1147.0,1190.8,43.799999999999955,0.9632180047027209,False,False,False,False,
0129-KPTWJ,No,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,94.65,6747.35,6814.8,67.44999999999982,0.9901024241357047,False,False,False,False,
0129-QMPDR,No,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,bank transfer (automatic),20.5,865.05,902.0,36.950000000000045,0.9590354767184035,False,False,False,False,
0130-SXOUN,No,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,credit card (automatic),89.4,5976.9,5900.400000000001,-76.49999999999909,1.0129652226967663,False,False,False,False,
0133-BMFZO,Yes,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,electronic check,86.25,181.65,172.5,-9.150000000000006,1.0530434782608695,False,False,False,False,
0134-XWXCE,No,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,bank transfer (automatic),74.85,3268.05,3293.3999999999996,25.349999999999454,0.992302787392968,False,False,False,False,
0135-NMXAP,Yes,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,bank transfer (automatic),89.75,1052.4,1077.0,24.59999999999991,0.9771587743732592,False,False,False,False,
0136-IFMYD,No,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,electronic check,109.95,7634.25,7586.55,-47.69999999999982,1.006287442908832,False,False,False,False,
0137-OCGAB,Yes,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,mailed check,80.2,80.2,80.2,0.0,1.0,False,False,False,False,
0137-UDEUO,Yes,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,19.85,63.75,59.550000000000004,-4.199999999999996,1.070528967254408,False,False,False,False,
0139-IVFJG,No,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,electronic check,90.35,190.5,180.7,-9.800000000000011,1.0542335362479247,False,False,False,False,
0141-YEAYS,No,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,bank transfer (automatic),86.45,2401.05,2334.15,-66.90000000000009,1.0286613970824499,False,False,False,False,
0142-GVYSN,No,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,electronic check,20.3,511.25,527.8000000000001,16.550000000000068,0.9686434255399772,False,False,False,False,
0147-ESWWR,No,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,electronic check,101.25,3949.15,3948.75,-0.40000000000009095,1.0001012978790758,False,False,False,False,
0148-DCDOS,Yes,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,bank transfer (automatic),94.7,2362.1,2367.5,5.400000000000091,0.9977191129883843,False,False,False,False,
0151-ONTOV,Yes,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,mailed check,70.9,70.9,70.9,0.0,1.0,False,False,False,False,
0154-QYHJU,,Male,0,No,No,29,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,electronic check,58.75,1696.2,1703.75,7.5499999999999545,0.9955685986793837,False,False,False,False,
0156-FVPTA,Yes,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,electronic check,54.2,1152.7,1192.4,39.700000000000045,0.9667058034216706,False,False,False,False,
0162-RZGMZ,,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,credit card (automatic),59.9,287.85,299.5,11.649999999999977,0.96110183639399,False,False,False,False,
0164-APGRB,No,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,electronic check,114.9,8496.7,8272.800000000001,-223.89999999999964,1.02706459723431,False,False,False,False,
0164-XAIRP,No,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,bank transfer (automatic),19.55,470.2,469.20000000000005,-0.9999999999999432,1.0021312872975277,False,False,False,False,
0168-XZKBB,No,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,electronic check,86.85,1564.4,1650.1499999999999,85.74999999999977,0.9480350271187469,False,False,False,False,
0174-QRVVY,No,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,credit card (automatic),25.35,1847.55,1799.8500000000001,-47.69999999999982,1.0265022085173763,False,False,False,False,
0177-PXBAT,No,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,bank transfer (automatic),109.9,3694.7,3626.7000000000003,-67.99999999999955,1.018749827667025,False,False,False,False,
0178-CIIKR,No,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,19.95,58.0,59.849999999999994,1.8499999999999943,0.9690893901420218,False,False,False,False,
0178-SZBHO,No,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,electronic check,87.2,4017.45,4098.400000000001,80.95000000000073,0.9802483896154596,False,False,False,False,
0181-RITDD,No,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,mailed check,108.15,6825.65,6705.3,-120.34999999999945,1.0179484885090897,False,False,False,False,
0186-CAERR,No,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,bank transfer (automatic),116.3,8309.55,8257.3,-52.25,1.006327734247272,False,False,False,False,
0187-QSXOE,No,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,electronic check,89.0,605.45,623.0,17.549999999999955,0.9718298555377208,False,False,False,False,
0187-WZNAB,No,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,mailed check,74.4,1972.35,2008.8000000000002,36.45000000000027,0.9818548387096773,False,False,False,False,
0188-GWFLE,No,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,20.05,33.7,40.1,6.399999999999999,0.8403990024937656,False,False,False,False,
0191-EQUUH,No,Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,bank transfer (automatic),35.05,844.45,876.2499999999999,31.79999999999984,0.9637089871611985,False,False,False,False,
0191-ZHSKZ,No,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,electronic check,74.75,2111.3,2242.5,131.19999999999982,0.9414938684503903,False,False,False,False,
0193-ESZXP,Yes,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,credit card (automatic),105.5,6205.5,6119.0,-86.5,1.0141362967805196,False,False,False,False,
0195-IESCP,Yes,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,electronic check,85.25,855.3,852.5,-2.7999999999999545,1.0032844574780058,False,False,False,False,
0196-JTUQI,No,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,credit card (automatic),75.2,633.85,676.8000000000001,42.950000000000045,0.936539598108747,False,False,False,False,
0196-VULGZ,Yes,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,electronic check,84.35,474.9,506.09999999999997,31.19999999999999,0.9383521043272081,False,False,False,False,
0197-PNKNK,No,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,bank transfer (automatic),84.45,5848.6,5827.05,-21.550000000000182,1.003698269278623,False,False,False,False,
0201-MIBOL,No,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,bank transfer (automatic),102.4,6471.85,6758.400000000001,286.5500000000002,0.9576009114583333,False,False,False,True,gap >2 months (gap=286.55)
0201-OAMXR,Yes,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,credit card (automatic),115.55,8127.6,8088.5,-39.100000000000364,1.0048340236137727,False,False,False,False,
0203-HHYIJ,Yes,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,bank transfer (automatic),25.3,676.35,632.5,-43.85000000000002,1.0693280632411069,False,False,False,False,
